title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,407289,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
"A Fistful of Dollars",movie,"Drama, Western",1964,tt0058461,7.9,240227,"IT, SM"
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,205345,"BE, CA, NL"
"Kill Bill: Vol. 2",movie,"Action, Crime, Thriller",2004,tt0378194,8,827649,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TR, TZ, UA, UG, YE, ZA, ZM, ZW"
"Basic Instinct",movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,227121,"AD, AE, AO, BH, CV, CY, DK, DZ, EG, ES, FI, GH, GQ, GR, HK, IL, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LY, MA, MC, MZ, NG, NO, OM, PL, PS, PT, QA, SA, SC, SE, TN, TR, TW, TZ, UG, YE, ZA, ZM, ZW"
"Driving Miss Daisy",movie,"Comedy, Drama",1989,tt0097239,7.3,119772,KR
"Summer in Berlin",movie,Drama,2005,tt0477877,6.9,3015,"AT, CH, DE"
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,949939,"AR, BO, BR, BZ, CL, CO, CR, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"
"Schindler's List",movie,"Biography, Drama, History",1993,tt0108052,9,1499066,US
"The Day After Tomorrow",movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,491350,"AD, AE, AL, AO, BA, BE, BG, BH, CA, CH, CI, CM, CV, CY, CZ, DZ, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GQ, GR, HK, HR, HU, ID, IE, IL, IQ, JO, JP, KE, KR, KW, LB, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MU, MY, MZ, NE, NG, NL, OM, PF, PH, PL, PS, PT, QA, RO, RS, SA, SC, SG, SI, SK, SN, TD, TH, TN, TR, TW, TZ, UG, YE, ZA, ZM, ZW"
Sissi,movie,"Comedy, Drama, History",1955,tt0048624,7,10432,"AT, CH, DE"
"Sissi: The Young Empress",movie,"Drama, History",1956,tt0049762,6.6,7622,"AT, CH, DE"
"Sissi: The Fateful Years of an Empress",movie,"Drama, History, Romance",1957,tt0050974,6.6,6226,"AT, CH, DE"
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.5,229469,"AD, AL, BA, BG, CH, CZ, DZ, FR, GF, HR, HU, IN, IS, MA, MC, ME, MK, MU, PF, PK, PL, RO, RS, SI, SK, TN, US"
"As It Is in Heaven",movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18562,"DK, FI, NO, SE"
"My Own Private Idaho",movie,Drama,1991,tt0102494,7,63769,JP
"The African Queen",movie,"Adventure, Drama, Romance",1951,tt0043265,7.7,86064,"BG, CY, CZ, DK, EE, FI, GR, HR, HU, IS, IT, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,204979,"DK, FI, NO, SE"
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1460036,"AD, AE, AL, AZ, BA, BE, BG, BH, BY, CH, CZ, DZ, EE, EG, FJ, FR, GB, GF, GG, GI, HK, HR, HU, ID, IE, IL, IN, IQ, IT, JO, KW, LB, LT, LU, LV, LY, MA, MC, MD, ME, MK, MT, MY, NL, OM, PF, PH, PK, PL, PS, PT, QA, RO, RS, SA, SG, SI, SK, SM, TD, TH, TN, TW, UA, YE"
"Reservoir Dogs",movie,"Crime, Thriller",1992,tt0105236,8.3,1118870,"GB, GG, GI, IE, MT"
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,112249,JP
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,165932,KR
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,55599,"AG, BM, BO, BS, BZ, CL, CO, CR, DO, EC, GG, GT, HN, IE, JM, LC, MX, PA, PE, PY, SV, TC, UY"
"Love Actually",movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,554443,"AD, AE, AL, AU, AZ, BA, BE, BG, BH, BY, CH, CY, CZ, DK, DZ, EE, EG, ES, FI, GR, HK, HR, HU, IL, IQ, IS, IT, JO, JP, KR, KW, LB, LT, LV, LY, MA, MC, MD, ME, MK, NL, NO, NZ, OM, PL, PS, PT, QA, RO, RS, SA, SE, SI, SK, TN, TR, TW, US, YE"
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,357738,"AD, AU, BE, CH, ES, FJ, FR, GB, GF, GG, GI, HK, ID, IE, IN, LU, MC, MY, NL, NZ, PF, PH, PK, SG, TH, TW, US"
"One Flew Over the Cuckoo's Nest",movie,Drama,1975,tt0073486,8.7,1102920,"BA, ME, MK, RS"
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,582579,"AU, IL, JP, KR, NZ"
"Once Were Warriors",movie,"Crime, Drama",1994,tt0110729,7.9,37776,"AU, FJ, NZ"
"Terminator Salvation",movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,383378,"BE, DZ, IN, PK"
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,61210,"AZ, BY, LT, LV, UA"
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,186701,JP
"Fight Club",movie,Drama,1999,tt0137523,8.8,2418346,PK
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,908635,"AD, AE, AG, AL, AR, AT, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CL, CO, CR, CU, CY, CZ, DE, DO, DZ, EC, EG, ES, FR, GF, GR, GT, HN, HR, HU, IN, IQ, JM, JO, KR, KW, LB, LC, LI, LU, LY, MA, MC, ME, MK, MT, MU, MX, NI, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SI, SK, SV, TC, TN, TR, TT, US, UY, VE, YE"
"Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,733788,"AD, AE, AL, BA, BE, BG, BH, CY, CZ, DZ, EG, ES, GR, HR, HU, IQ, JO, KR, KW, LB, LU, LY, MA, ME, MK, MT, OM, PL, PS, PT, QA, RO, RS, SA, SI, SK, TN, TR, US, YE"
"Spider-Man 3",movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,658405,"AD, AE, AG, AL, AR, AT, AU, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CL, CO, CR, CU, CY, CZ, DE, DO, DZ, EC, EG, ES, GF, GR, GT, HN, HR, HU, IN, IQ, JM, JO, JP, KR, KW, LB, LC, LI, LU, LY, MA, ME, MK, MT, MX, NI, NZ, OM, PA, PE, PK, PL, PS, PY, QA, RO, RS, SA, SI, SK, SV, TC, TN, TR, TT, US, UY, VE, YE"
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,386265,"AD, AT, CH, DE, ES, FJ, HK, HR, ID, JP, KR, LI, LU, MY, PH, PK, PT, SG, TH, TW"
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,475975,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HN, HR, HU, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, SV, TC, TD, TN, TR, TT, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,323041,US
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,210927,"AG, BM, BO, BS, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, PA, PY, SV, TC, UY"
"Next Door",movie,"Mystery, Thriller",2005,tt0453383,6.4,10821,"DE, ES, GB, IT"
