title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Princess Mononoke,movie,"Adventure, Animation, Fantasy",1997.0,8.3,451552.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
Spirited Away,movie,"Adventure, Animation, Family",2001.0,8.6,890031.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
"O Brother, Where Art Thou?",movie,"Comedy, Crime, Drama",2000.0,7.7,338325.0,"AU, GB, GG, GI, IE, NZ"
Groundhog Day,movie,"Comedy, Drama, Fantasy",1993.0,8.0,705379.0,"AD, AT, BE, CH, DE, DZ, FR, GF, IL, LI, LU, MA, MC, MU, PF, PL, TN, TR"
Bad Education,movie,"Crime, Drama",2004.0,7.4,64438.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001.0,8.0,871846.0,TW
Brokeback Mountain,movie,"Drama, Romance",2005.0,7.7,395997.0,FR
Akira,movie,"Animation, Drama, Fantasy",1988.0,8.0,212438.0,"AG, AR, BE, BO, BR, BZ, CH, CL, CO, CR, CU, DO, EC, FR, GT, HN, IT, JP, LC, LU, MX, NI, NL, PA, PE, PY, SM, SV, UY, VE"
Lost in Translation,movie,"Comedy, Drama",2003.0,7.7,505310.0,CA
The Dark Knight,movie,"Action, Crime, Drama",2008.0,9.0,2971122.0,"AD, AT, AU, CH, DE, ES, IT, JP, KR, LI, LU, NZ, PT, SM"
