title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries,movie_quality_score,movie_quality_category
Shameless,tv,"Comedy, Drama",2011.0,8.5,303196.0,"AD, AT, AU, BE, CA, DE, ES, FJ, GB, GG, HK, ID, IE, IN, IT, LI, MT, NL, NZ, PH, PK, PT, SG, SM, TH, TW, US",8.444444444444445,High
Memories of Murder,movie,"Crime, Drama, Mystery",2003.0,8.1,231909.0,KR,8.444444444444445,High
Spotlight,movie,"Biography, Crime, Drama",2015.0,8.1,513156.0,"BG, CZ, HU, IS, KR, PL, RO, SK, TR",8.444444444444445,High
Spider-Man: Into the Spider-Verse,movie,"Action, Adventure, Animation",2018.0,8.4,711385.0,"AD, AE, AL, AT, AU, BA, BE, BG, BH, CH, CY, CZ, DE, DK, DZ, EG, ES, FI, FR, GF, GR, HR, HU, IL, IN, IQ, IT, JO, KR, KW, LB, LI, LU, LY, MA, MC, ME, MK, MT, MU, NO, OM, PF, PK, PL, PS, PT, QA, RO, RS, SA, SE, SI, SK, SM, TN, TR, YE",8.444444444444445,High
Hacksaw Ridge,movie,"Biography, Drama, History",2016.0,8.1,623118.0,"AT, AU, DE, ES, FJ, ID, IT, LI, LU, NZ, SM, TW",8.444444444444445,High
Oppenheimer,movie,"Biography, Drama, History",2023.0,8.3,838668.0,"AU, BE, CH, FR, GF, KR, LU, MC, NZ, PF",8.444444444444445,High
My Neighbor Totoro,movie,"Animation, Comedy, Family",1988.0,8.1,398499.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
The Queen's Gambit,tv,Drama,2020.0,8.5,596691.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Lion,movie,"Biography, Drama",2016.0,8.0,256730.0,"SG, US",8.444444444444445,High
Blade Runner 2049,movie,"Action, Drama, Mystery",2017.0,8.0,698099.0,"AD, AE, AG, AR, AZ, BB, BH, BO, BR, BS, BY, BZ, CH, CL, CO, CR, CU, DK, DO, DZ, EC, EG, ES, FI, FR, GF, GT, HN, IN, IQ, IS, JM, JO, JP, KR, KW, LB, LC, LU, LY, MA, MC, MD, MT, MU, MX, NI, NL, NO, OM, PA, PE, PF, PK, PS, PY, QA, SA, SE, SV, TC, TN, TR, TT, UA, UY, VE, YE",8.444444444444445,High
Spider-Man: No Way Home,movie,"Action, Adventure, Fantasy",2021.0,8.2,927832.0,"AD, AE, BH, CA, CH, DZ, EG, FJ, FR, GF, HK, ID, IN, IQ, JO, KW, LB, LY, MA, MC, MU, MY, NZ, OM, PF, PH, PK, PS, PT, QA, SA, SG, TH, TN, TR, TW, YE",8.444444444444445,High
Whiplash,movie,"Drama, Music",2014.0,8.5,1045044.0,"AD, AE, AL, AO, AU, BA, BE, BG, BH, CA, CI, CV, CZ, DZ, EG, ES, GH, GR, HU, ID, IN, IQ, JP, KE, KR, KW, LB, LU, LY, MA, ME, MG, MK, ML, MT, MU, MZ, NG, NL, PF, PK, PL, PS, PT, QA, RO, RS, SC, SE, SI, SK, SN, TW, TZ, US, ZA, ZM, ZW",8.444444444444445,High
The Imitation Game,movie,"Biography, Drama, Thriller",2014.0,8.0,844060.0,"BM, GB, GG, GI, IE, TC",8.444444444444445,High
